snapshot_date,item_id,card_name,title,price_usd,format,bids,first_seen,url
2026-09-16,188917131769,SFD-230 Teemo Strategist,Riftbound 2026 SFD Teemo Strategist Signature Overnumbered 230*/221 PSA 10,2199.0,auction,0,2026-09-15,https://www.ebay.com/itm/188917131769
2026-09-16,800637861854,OGN-307 Teemo Swift Scout,RIFTBOUND: LOL TEEMO 2025 OGN-ORIGINS #307* SIGNATURE OVERNUMBER PSA 10,1999.0,auction,16,2026-09-10,https://www.ebay.com/itm/800637861854
2026-09-16,307169075288,UNL-235 Leblanc Deceiver,2026 RIFTBOUND: LEAGUE OF LEGENDS UNLEASHED SIGNATURE OVERNUMBER LEBLANC PSA 10,1499.0,auction,2,2026-09-10,https://www.ebay.com/itm/307169075288
2026-09-16,800628099253,SFD-225 Irelia Fervent,RIFTBOUND: LEAGUE OF LEGENDS IRELIA 2026 SFD #225 SIGNATURE OVERNUMBER PSA 10,2850.0,auction,17,2026-09-10,https://www.ebay.com/itm/800628099253
2026-09-16,800633612891,SFD-236 Darius Executioner,RIFTBOUND: LOL DARIUS 2026 SFD-SPIRITFORGED #236* SIGNATURE OVERNUMBER PSA 10,445.0,auction,10,2026-09-10,https://www.ebay.com/itm/800633612891
2026-09-16,800633612904,OGN-305 Yasuo Unforgiven,RIFTBOUND: LOL YASUO 2025 OGN-ORIGINS #305* SIGNATURE OVERNUMBER PSA 10,1358.0,auction,10,2026-09-10,https://www.ebay.com/itm/800633612904
2026-09-16,800637504012,SFD-235 Yasuo Windrider,2026 RIFTBOUND: LEAGUE OF LEGENDS YASUO SIGNATURE OVERNUMBER SFD #235* PSA 10,777.0,auction,9,2026-09-10,https://www.ebay.com/itm/800637504012
2026-09-16,800627715939,OGN-310 Sett The Boss,RIFTBOUND: LEAGUE OF LEGENDS SETT 2025 ORIGINS #310 SIGNATURE OVERNUMBER PSA 10,1400.0,auction,15,2026-09-10,https://www.ebay.com/itm/800627715939
2026-09-16,800627716012,OGN-305 Yasuo Unforgiven,RIFTBOUND: LEAGUE OF LEGENDS YASUO 2025 OGN #305 SIGNATURE OVERNUMBER PSA 10,1525.0,auction,8,2026-09-10,https://www.ebay.com/itm/800627716012
2026-09-16,800627716097,UNL-234 Diana Scorn of the Moon,RIFTBOUND: LEAGUE OF LEGENDS DIANA 2026 UNL #234 SIGNATURE OVERNUMBER PSA 10,2025.0,auction,17,2026-09-10,https://www.ebay.com/itm/800627716097
2026-09-16,398379339875,SFD-232 Sett Brawler,2026 Riftbound SFD EN 232*/221 - Sett - Signature Overnumber - PSA 10,1650.0,auction,0,2026-09-15,https://www.ebay.com/itm/398379339875
2026-09-16,366659046115,[no-match],2026 RIFTBOUND LEAGUE/LEGENDS VEN-VENDETTA #191* ZED SIGNATURE OVERNUMBER PSA 10,1850.0,auction,42,2026-09-15,https://www.ebay.com/itm/366659046115
2026-09-16,377484625852,SFD-224 Aphelios Exalted,2026 RIFTBOUND: SFD-SPIRITFORGED #224* APHELIOS SIGNATURE OVERNUMBER PSA 10,890.0,auction,11,2026-09-15,https://www.ebay.com/itm/377484625852
2026-09-16,298659707441,[no-match],2026 RIFTBOUND: LEAGUE OF LEGENDS VENDETTA SIGNATURE OVERNUMBER JAYCE PSA 10,898.0,auction,14,2026-09-15,https://www.ebay.com/itm/298659707441
